ser_no,co_chg,dpt_code,dptname,cou_code,class,year,credit,forh,sel_code,cou_cname,cou_ename,tea_cname,clsrom_1,clsrom_2,daytime,mark,co_tp,co_gmark,clsrom_3,clsrom_4,clsrom_5,clsrom_6,co_select,tlec,tlab
82899,,9010,電機系09。,901 49550,39,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,管傑雄cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
40667,,9010,電機系07。,901 49550,40,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,劉志文cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
21750,,9010,電機系00。,901 49550,41,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,孫啟光cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
54834,,9010,電機系04。,901 49550,42,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,彭隆瀚cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
62788,,9010,電機系08。,901 49550,43,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,李百祺cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
22493,,9010,電機系03。,901 49550,44,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,陳宏銘cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
29484,,9010,電機系04。,901 49550,45,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,鍾孝文cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
13837,,9010,電機系07。,901 49550,46,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,張耀文cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
64958,,9010,電機系08。,901 49550,47,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,廖婉君cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
14174,,9010,電機系04。,901 49550,48,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,吳安宇cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
52340,,9010,電機系00。,901 49550,49,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,王  凡ia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
46590,,9010,電機系00。,901 49550,50,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,鐘嘉德cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
16326,,9010,電機系06。,901 49550,51,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,黃升龍cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
37725,,9010,電機系05。,901 49550,52,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,林啟萬cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
85769,,9010,電機系09。,901 49550,53,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,馮世邁cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
34107,,9010,電機系07。,901 49550,54,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,吳忠幟cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
74857,,9010,電機系07。,901 49550,55,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,吳宗霖cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
65395,,9010,電機系05。,901 49550,56,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,林恭如cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
78802,,9010,電機系02。,901 49550,57,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,黃天偉cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
34460,,9010,電機系00。,901 49550,58,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,羅仁權cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
81303,,9010,電機系03。,901 49550,59,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,呂良鴻cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
56867,,9010,電機系07。,901 49550,60,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,陳中平cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
64168,,9010,電機系08。,901 49550,61,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,莊曜宇cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
65831,,9010,電機系01。,901 49550,62,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,林宗男cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
85737,,9010,電機系07。,901 49550,63,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,李泰成cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
19610,,9010,電機系00。,901 49550,64,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,黃寶儀cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
53192,,9010,電機系02。,901 49550,65,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,吳志毅cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
82096,,9010,電機系06。,901 49550,66,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,黃建璋cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
16469,,9010,電機系09。,901 49550,67,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,李君浩cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
69200,,9010,電機系00。,901 49550,68,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,林宗賢cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
40944,,9010,電機系04。,901 49550,69,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,李致毅cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
83851,,9010,電機系01。,901 49550,70,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,陳耀銘cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
41646,,9010,電機系06。,901 49550,71,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,李心予cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
88388,,9010,電機系08。,901 49550,72,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,蘇炫榮cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
25778,,9010,電機系08。,901 49550,73,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,陳怡然cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
67297,,9010,電機系07。,901 49550,74,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,簡韶逸cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
71085,,9010,電機系05。,901 49550,75,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,林晃巖cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
40538,,9010,電機系08。,901 49550,76,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,毛紹綱cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
19726,,9010,電機系06。,901 49550,77,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,連豊力cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
47849,,9010,電機系09。,901 49550,78,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,林怡成cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
77678,,9010,電機系08。,901 49550,79,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,江介宏cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
11356,,9010,電機系06。,901 49550,80,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,邱奕鵬cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
75402,,9010,電機系02。,901 49550,81,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,李建模cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
37843,,9010,電機系03。,901 49550,82,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,蔡睿哲cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
83559,,9010,電機系09。,901 49550,83,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,陳士元cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
46927,,9010,電機系07。,901 49550,84,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,毛明華cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
88874,,9010,電機系04。,901 49550,85,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,黃俊郎cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
10298,,9010,電機系08。,901 49550,86,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,蘇國棟cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
64109,,9010,電機系09。,901 49550,87,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,魏宏宇cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
83769,,9010,電機系09。,901 49550,88,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,葉丙成cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
32453,,9010,電機系03。,901 49550,89,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,周錫增cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
10252,,9010,電機系02。,901 49550,90,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,曹建和cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
28048,,9010,電機系08。,901 49550,91,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,謝宏昀cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
10598,,9010,電機系08。,901 49550,92,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,陳信樹cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
12614,,9010,電機系04。,901 49550,93,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,曾雪峰cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
44514,,9010,電機系04。,901 49550,94,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,林坤佑cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
74011,,9010,電機系01。,901 49550,95,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,黃鐘揚cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
11603,,9010,電機系03。,901 49550,96,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,陳奕君cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
32209,,9010,電機系09。,901 49550,97,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,吳育任cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
57411,,9010,電機系01。,901 49550,98,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,黃定洧cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
16221,,9010,電機系01。,901 49550,99,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,丁建均cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
20425,,9010,電機系05。,901 49550,A1,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,林致廷cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
86511,,9010,電機系01。,901 49550,A2,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,盧信嘉cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
37328,,9010,電機系08。,901 49550,A3,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,蔡坤諭cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
64349,,9010,電機系09。,901 49550,A4,"2,3,4 年級選修課程習二科,最多",2,"半年3,","選修3,",專題研究4 年級,Special Project,田維誠cia,,,,"初選不開放。每學期最多修習二科,最多核算4科為系訂選修學分，於加退選時加選。總人數限 20人總人數限 80人、陳瑞琳、吳育任合開總人數限 75人系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,4
